,stroke_type,admissions,proportion_of_all_with_ivt,proportion_of_all_with_mt,proportion_of_mt_with_ivt,proportion1_of_all_with_onset_known_ivt,proportion2_of_mask1_with_onset_to_arrival_on_time_ivt,proportion3_of_mask2_with_arrival_to_scan_on_time_ivt,proportion4_of_mask3_with_onset_to_scan_on_time_ivt,proportion5_of_mask4_with_enough_time_to_treat_ivt,proportion6_of_mask5_with_treated_ivt,lognorm_mu_onset_arrival_mins_ivt,lognorm_sigma_onset_arrival_mins_ivt,lognorm_mu_arrival_scan_arrival_mins_ivt,lognorm_sigma_arrival_scan_arrival_mins_ivt,lognorm_mu_scan_needle_mins_ivt,lognorm_sigma_scan_needle_mins_ivt,proportion1_of_all_with_onset_known_mt,proportion2_of_mask1_with_onset_to_arrival_on_time_mt,proportion3_of_mask2_with_arrival_to_scan_on_time_mt,proportion4_of_mask3_with_onset_to_scan_on_time_mt,proportion5_of_mask4_with_enough_time_to_treat_mt,proportion6_of_mask5_with_treated_mt,lognorm_mu_onset_arrival_mins_mt,lognorm_sigma_onset_arrival_mins_mt,lognorm_mu_arrival_scan_arrival_mins_mt,lognorm_sigma_arrival_scan_arrival_mins_mt,lognorm_mu_scan_puncture_mins_mt,lognorm_sigma_scan_puncture_mins_mt,proportion_of_all_with_mask6_and_ivt,proportion_of_all_with_mask6_and_mt,stroke_team,scenario
1 / lvo / base,lvo,79.4,0.244332,0.04534,0.444444,0.513854,0.823529,0.982143,0.951515,1.0,0.547771,4.551001,0.468568,2.783762,0.97023,3.656848,0.77718,0.513854,0.872549,0.988764,0.971591,1.0,0.081871,4.618692,0.533736,2.839948,1.036634,4.249917,1.663217,0.216625,0.035264,1,base
1 / nlvo / base,nlvo,223.8,0.140304,0.001787,0.5,0.582663,0.602761,0.959288,0.877984,1.0,0.404834,4.596397,0.546661,3.252934,0.982047,3.594554,0.671755,0.582663,0.670245,0.97254,0.917647,1.0,0.005128,4.703262,0.609983,3.374502,1.044641,,,0.11975,0.001787,1,base
1 / other / base,other,40.2,0.0,0.0,,0.512438,0.757282,0.974359,0.947368,1.0,0.0,4.513955,0.693023,2.969284,1.003359,,,0.512438,0.84466,0.977011,0.941176,1.0,0.0,4.632703,0.745401,3.041762,1.059592,,,0.0,0.0,1,base
1 / mixed / base,mixed,343.4,0.147932,0.011648,0.45,0.558532,0.666319,0.967136,0.906149,1.0,0.392857,4.574399,0.547664,3.092787,1.001693,3.618906,0.71373,0.558532,0.732013,0.977208,0.934402,1.0,0.024961,4.673074,0.610768,3.196128,1.069103,4.36563,1.580607,0.12813,0.009319,1,base
1 / lvo / benchmark,lvo,79.4,0.302267,0.035264,0.444444,0.513854,0.823529,0.982143,0.951515,1.0,0.764331,4.551001,0.468568,2.783762,0.97023,3.656848,0.77718,0.513854,0.872549,0.988764,0.971591,1.0,0.081871,4.618692,0.533736,2.839948,1.036634,4.249917,1.663217,0.302267,0.035264,1,benchmark
1 / nlvo / benchmark,nlvo,223.8,0.160923,0.001787,0.5,0.582663,0.602761,0.959288,0.877984,1.0,0.544025,4.596397,0.546661,3.252934,0.982047,3.594554,0.671755,0.582663,0.670245,0.97254,0.917647,1.0,0.005128,4.703262,0.609983,3.374502,1.044641,,,0.160923,0.001787,1,benchmark
1 / other / benchmark,other,40.2,0.0,0.0,,0.512438,0.757282,0.974359,0.947368,1.0,0.0,4.513955,0.693023,2.969284,1.003359,,,0.512438,0.84466,0.977011,0.941176,1.0,0.0,4.632703,0.745401,3.041762,1.059592,,,0.0,0.0,1,benchmark
1 / mixed / benchmark,mixed,343.4,0.17647,0.009319,0.45,0.558532,0.666319,0.967136,0.906149,1.0,0.541071,4.574399,0.547664,3.092787,1.001693,3.618906,0.71373,0.558532,0.732013,0.977208,0.934402,1.0,0.024961,4.673074,0.610768,3.196128,1.069103,4.36563,1.580607,0.17647,0.009319,1,benchmark
1 / lvo / onset,lvo,79.4,0.256669,0.041783,0.444444,0.608843,0.823529,0.982143,0.951515,1.0,0.547771,4.551001,0.468568,2.783762,0.97023,3.656848,0.77718,0.608843,0.872549,0.988764,0.971591,1.0,0.081871,4.618692,0.533736,2.839948,1.036634,4.249917,1.663217,0.256669,0.041783,1,onset
1 / nlvo / onset,nlvo,223.8,0.122803,0.001833,0.5,0.597516,0.602761,0.959288,0.877984,1.0,0.404834,4.596397,0.546661,3.252934,0.982047,3.594554,0.671755,0.597516,0.670245,0.97254,0.917647,1.0,0.005128,4.703262,0.609983,3.374502,1.044641,,,0.122803,0.001833,1,onset
1 / other / onset,other,40.2,0.0,0.0,,0.608578,0.757282,0.974359,0.947368,1.0,0.0,4.513955,0.693023,2.969284,1.003359,,,0.608578,0.84466,0.977011,0.941176,1.0,0.0,4.632703,0.745401,3.041762,1.059592,,,0.0,0.0,1,onset
1 / mixed / onset,mixed,343.4,0.13958,0.010151,0.45,0.608442,0.666319,0.967136,0.906149,1.0,0.392857,4.574399,0.547664,3.092787,1.001693,3.618906,0.71373,0.608442,0.732013,0.977208,0.934402,1.0,0.024961,4.673074,0.610768,3.196128,1.069103,4.36563,1.580607,0.13958,0.010151,1,onset
1 / lvo / speed,lvo,79.4,0.209535,0.033882,0.444444,0.513854,0.823529,0.95,0.951515,1.0,0.547771,4.551001,0.468568,2.70805,0.0,3.656848,0.77718,0.513854,0.872549,0.95,0.971591,1.0,0.081871,4.618692,0.533736,2.70805,0.0,4.249917,1.663217,0.209535,0.033882,1,speed
1 / nlvo / speed,nlvo,223.8,0.11859,0.001746,0.5,0.582663,0.602761,0.95,0.877984,1.0,0.404834,4.596397,0.546661,2.70805,0.0,3.594554,0.671755,0.582663,0.670245,0.95,0.917647,1.0,0.005128,4.703262,0.609983,2.70805,0.0,,,0.11859,0.001746,1,speed
1 / other / speed,other,40.2,0.0,0.0,,0.512438,0.757282,0.95,0.947368,1.0,0.0,4.513955,0.693023,2.70805,0.0,,,0.512438,0.84466,0.95,0.941176,1.0,0.0,4.632703,0.745401,2.70805,0.0,,,0.0,0.0,1,speed
1 / mixed / speed,mixed,343.4,0.12586,0.009059,0.45,0.558532,0.666319,0.95,0.906149,1.0,0.392857,4.574399,0.547664,2.70805,0.0,3.618906,0.71373,0.558532,0.732013,0.95,0.934402,1.0,0.024961,4.673074,0.610768,2.70805,0.0,4.36563,1.580607,0.12586,0.009059,1,speed
1 / lvo / onset + benchmark,lvo,79.4,0.358143,0.041783,0.444444,0.608843,0.823529,0.982143,0.951515,1.0,0.764331,4.551001,0.468568,2.783762,0.97023,3.656848,0.77718,0.608843,0.872549,0.988764,0.971591,1.0,0.081871,4.618692,0.533736,2.839948,1.036634,4.249917,1.663217,0.358143,0.041783,1,onset + benchmark
1 / nlvo / onset + benchmark,nlvo,223.8,0.165025,0.001833,0.5,0.597516,0.602761,0.959288,0.877984,1.0,0.544025,4.596397,0.546661,3.252934,0.982047,3.594554,0.671755,0.597516,0.670245,0.97254,0.917647,1.0,0.005128,4.703262,0.609983,3.374502,1.044641,,,0.165025,0.001833,1,onset + benchmark
1 / other / onset + benchmark,other,40.2,0.0,0.0,,0.608578,0.757282,0.974359,0.947368,1.0,0.0,4.513955,0.693023,2.969284,1.003359,,,0.608578,0.84466,0.977011,0.941176,1.0,0.0,4.632703,0.745401,3.041762,1.059592,,,0.0,0.0,1,onset + benchmark
