stroke_team_id,stroke_type,admissions,proportion_of_all_with_ivt,proportion_of_all_with_mt,proportion_of_mt_with_ivt,proportion1_of_all_with_onset_known_ivt,proportion2_of_mask1_with_onset_to_arrival_on_time_ivt,proportion3_of_mask2_with_arrival_to_scan_on_time_ivt,proportion4_of_mask3_with_onset_to_scan_on_time_ivt,proportion5_of_mask4_with_enough_time_to_treat_ivt,proportion6_of_mask5_with_treated_ivt,lognorm_mu_onset_arrival_mins_ivt,lognorm_sigma_onset_arrival_mins_ivt,lognorm_mu_arrival_scan_arrival_mins_ivt,lognorm_sigma_arrival_scan_arrival_mins_ivt,lognorm_mu_scan_needle_mins_ivt,lognorm_sigma_scan_needle_mins_ivt,proportion1_of_all_with_onset_known_mt,proportion2_of_mask1_with_onset_to_arrival_on_time_mt,proportion3_of_mask2_with_arrival_to_scan_on_time_mt,proportion4_of_mask3_with_onset_to_scan_on_time_mt,proportion5_of_mask4_with_enough_time_to_treat_mt,proportion6_of_mask5_with_treated_mt,lognorm_mu_onset_arrival_mins_mt,lognorm_sigma_onset_arrival_mins_mt,lognorm_mu_arrival_scan_arrival_mins_mt,lognorm_sigma_arrival_scan_arrival_mins_mt,lognorm_mu_scan_puncture_mins_mt,lognorm_sigma_scan_puncture_mins_mt,proportion_of_all_with_mask6_and_ivt,proportion_of_all_with_mask6_and_mt
1,lvo,153.0,0.323529,0.189542,0.672414,0.614379,0.824468,0.993548,0.980519,1.0,0.602649,4.482154,0.429048,3.15515,0.662868,3.160676,0.863238,0.614379,0.909574,1.0,0.988304,1.0,0.325444,4.59117,0.532134,3.095801,0.850953,4.84429,0.473707,0.297386,0.179739
1,nlvo,728.0,0.088599,0.011676,0.529412,0.484203,0.547518,0.943005,0.840659,1.0,0.362745,4.633735,0.49954,3.479407,0.958914,3.176399,1.060874,0.484203,0.635461,0.966518,0.921478,1.0,0.032581,4.781241,0.593924,3.470995,1.137795,5.098082,0.632573,0.076236,0.008929
1,other,101.5,0.0,0.0,,0.522167,0.688679,0.917808,0.880597,1.0,0.0,4.575809,0.489892,3.460899,0.767281,,,0.522167,0.820755,0.965517,0.904762,1.0,0.0,4.74919,0.60222,3.55556,0.979549,,,0.0,0.0
1,mixed,982.5,0.116031,0.038168,0.64,0.508397,0.614615,0.952769,0.882051,1.0,0.391473,4.588583,0.485106,3.391928,0.879373,3.169316,0.974497,0.508397,0.706707,0.974504,0.936047,1.0,0.10559,4.731255,0.585291,3.388066,1.066862,4.892809,0.51248,0.102799,0.034606
2,lvo,108.0,0.333333,0.00463,1.0,0.74537,0.714286,0.991304,0.973684,1.0,0.63964,4.498344,0.451547,2.897774,0.805825,3.391844,0.500678,0.74537,0.826087,1.0,0.954887,1.0,0.007874,4.659794,0.588026,2.995546,0.860518,,,0.328704,0.00463
2,nlvo,410.0,0.120732,0.00122,0.0,0.609756,0.554,0.935018,0.880309,1.0,0.421053,4.713608,0.464916,3.154636,0.999793,3.385542,0.529436,0.609756,0.672,0.949405,0.909091,1.0,0.0,4.882537,0.560891,3.291249,1.074854,,,0.117073,0.0
2,other,60.0,0.0,0.0,,0.7,0.654762,0.981818,0.907407,1.0,0.0,4.598269,0.432034,3.186641,0.860302,,,0.7,0.797619,0.985075,0.924242,1.0,0.0,4.78947,0.570523,3.235636,0.874942,,,0.0,0.0
2,mixed,578.0,0.147924,0.00173,0.5,0.644464,0.6,0.955257,0.908665,1.0,0.430412,4.644036,0.466061,3.090107,0.939852,3.388221,0.515879,0.644464,0.719463,0.966418,0.92278,1.0,0.002092,4.815633,0.575668,3.208239,1.005937,,,0.144464,0.000865
3,lvo,121.0,0.326446,0.136364,0.545455,0.640496,0.83871,1.0,0.976923,1.0,0.606299,4.510283,0.575657,1.924962,1.111086,3.593177,0.836761,0.640496,0.903226,1.0,0.978571,1.0,0.189781,4.594734,0.633849,1.97419,1.144893,4.228016,0.502568,0.318182,0.107438
3,nlvo,607.0,0.061779,0.001647,0.5,0.460461,0.542039,0.940594,0.870175,1.0,0.28629,4.618252,0.490705,2.54653,1.473954,3.762375,0.645068,0.460461,0.626118,0.974286,0.900293,1.0,0.006515,4.762754,0.587261,2.759821,1.577653,,,0.058484,0.001647
3,other,68.5,0.0,0.0,,0.437956,0.8,0.958333,0.956522,1.0,0.0,4.587773,0.517163,1.935309,1.335016,,,0.437956,0.85,0.980392,0.96,1.0,0.0,4.652081,0.565239,2.069928,1.4656,,,0.0,0.0
3,mixed,796.5,0.096673,0.021971,0.542857,0.485876,0.621447,0.95842,0.908894,1.0,0.353222,4.58603,0.518608,2.310261,1.397304,3.674346,0.753216,0.485876,0.698966,0.981516,0.926554,1.0,0.056911,4.708841,0.601212,2.487725,1.507591,4.333596,0.662705,0.092906,0.017577
4,lvo,91.0,0.214286,0.0,,0.604396,0.845455,0.978495,1.0,1.0,0.428571,4.570901,0.598048,2.755304,0.750127,3.913018,0.452116,0.604396,0.927273,0.980392,0.96,1.0,0.0,4.672403,0.659688,2.802711,0.741744,,,0.214286,0.0
4,nlvo,322.0,0.040373,0.0,,0.59472,0.634465,0.995885,0.946281,1.0,0.113537,4.623913,0.548603,3.141218,0.740707,3.870013,0.526357,0.59472,0.70235,1.0,0.959108,1.0,0.0,4.723871,0.605719,3.163075,0.760223,,,0.040373,0.0
4,other,59.0,0.0,0.0,,0.567797,0.701493,1.0,0.978723,1.0,0.0,4.566943,0.864871,2.987863,0.841304,,,0.567797,0.776119,1.0,0.980769,1.0,0.0,4.667823,0.879228,3.082852,0.858977,,,0.0,0.0
4,mixed,472.0,0.068856,0.0,,0.59322,0.683929,0.992167,0.963158,1.0,0.177596,4.604049,0.60627,3.029834,0.771128,3.895816,0.479627,0.59322,0.755357,0.995272,0.961995,1.0,0.0,4.70457,0.656688,3.067569,0.781431,,,0.068856,0.0
5,lvo,196.5,0.201018,0.05598,0.545455,0.56743,0.717489,0.9625,0.896104,1.0,0.550725,4.558431,0.502574,3.351996,0.88269,3.430125,0.55649,0.56743,0.825112,0.978261,0.861111,1.0,0.090323,4.70729,0.607989,3.524827,0.977614,5.323826,0.88366,0.193384,0.035623
5,nlvo,656.0,0.064787,0.005335,0.571429,0.500762,0.538813,0.898305,0.735849,1.0,0.34188,4.707265,0.459768,3.867637,0.880778,3.435341,0.506101,0.500762,0.675799,0.961712,0.765808,1.0,0.018349,4.904972,0.57042,4.110687,0.95993,,,0.060976,0.004573
5,other,124.5,0.0,0.0,,0.546185,0.735294,0.9,0.8,1.0,0.0,4.539872,0.610217,3.633942,0.908125,,,0.546185,0.823529,0.955357,0.850467,1.0,0.0,4.667483,0.686036,3.843731,1.00208,,,0.0,0.0
5,mixed,977.0,0.08393,0.014841,0.551724,0.519959,0.604331,0.915309,0.790036,1.0,0.351351,4.641218,0.503352,3.688916,0.911831,3.4328,0.529529,0.519959,0.728346,0.964865,0.802521,1.0,0.034904,4.819874,0.606883,3.922986,1.00092,5.294136,0.859814,0.079836,0.010235
6,lvo,147.5,0.179661,0.166102,0.469388,0.918644,0.512915,0.985612,0.912409,1.0,0.408,4.65824,0.539312,2.968826,0.842425,3.534687,0.55564,0.918644,0.630996,0.994152,0.905882,1.0,0.266234,4.849881,0.630914,3.081606,0.950492,4.68106,0.633198,0.172881,0.138983
6,nlvo,911.0,0.062569,0.015368,0.5,0.896268,0.286589,0.978632,0.882096,1.0,0.277228,4.726943,0.486819,3.261791,0.997199,3.605216,0.474715,0.896268,0.391304,0.989045,0.875,1.0,0.036166,4.980865,0.594567,3.378182,1.118175,4.71706,0.674892,0.061471,0.010977
